Clusters,Dii,m,Dij,J1,J2,J
2,90.93345,2,154.6535,90.93345,77.32675,1.1759636865638345
3,55.32351,3,190.2635,18.44117,63.421166666666664,0.29077311202621625
4,40.32133,4,190.2635,6.720221666666667,47.565875,0.14128241447606435
5,29.87446,5,215.7125,2.987446,43.1425,0.06924601031465492
6,26.20787,6,219.3791,1.7471913333333333,36.563183333333335,0.04778553654381844
7,24.20457,7,221.3824,1.1525985714285714,31.626057142857142,0.03644458638085051
8,22.42567,8,223.1613,0.8009167857142857,27.8951625,0.02871167306210479
9,20.82057,9,224.7664,0.5783491666666667,24.974044444444445,0.023158009827091593
